日時,自転車の数,天気,気温,曜日
2025-11-10 10:00,9,晴れ,15,日
2025-11-10 15:00,9,晴れ,19,日
2025-11-10 20:00,2,晴れ,15,日
2025-11-11 10:00,8,雨,16,月
2025-11-11 15:00,5,雨,16,月
2025-11-11 20:00,2,雨,14,月
2025-11-12 10:00,16,晴れ,15,火
2025-11-12 15:00,15,晴れ,17,火
2025-11-12 20:00,6,晴れ,17,火
2025-11-20 01:40,2,,,木
2025-11-20 01:41,2,,,木
2025-11-20 01:42,2,,,木
2025-12-09 22:13,2,晴れ,9,火
2025-12-09 22:24,2,晴れ,9,火
2025-12-09 22:43,2,晴れ,9,火
2025-12-09 22:55,2,曇り,8,火
2025-12-09 23:08,2,曇り,,火
2025-12-09 23:34,2,,,火
2025-12-09 23:56,2,晴れ,8,火
2025-12-10 00:04,2,晴れ,8,水
